pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
782,0,6456,1322.9508,15.8414,50.932119,1,0.0155,0,0.0000,0,0.0000,1,0.0155,1,0.0155,2,0.0310
313,0,6138,1257.7869,16.6807,52.739928,2,0.0326,1,0.0163,13,0.2118,0,0.0000,2,0.0326,0,0.0000
20,47,5991,1227.6639,16.8857,53.843354,0,0.0000,3,0.0501,0,0.0000,2,0.0334,4,0.0668,0,0.0000
143,199,5907,1210.4508,16.7278,52.704691,1,0.0169,1,0.0169,9,0.1524,1,0.0169,1,0.0169,1,0.0169
631,0,5853,1199.3852,17.6961,56.453867,4,0.0683,0,0.0000,9,0.1538,0,0.0000,1,0.0171,0,0.0000
302,923,5790,1186.4754,15.3468,50.590207,3,0.0518,1,0.0173,46,0.7945,0,0.0000,4,0.0691,0,0.0000
79,1017,5662,1160.2459,15.8087,50.707218,1,0.0177,2,0.0353,9,0.1590,0,0.0000,2,0.0353,3,0.0530
54,286,5623,1152.2541,15.5751,50.790589,2,0.0356,1,0.0178,9,0.1601,3,0.0534,1,0.0178,1,0.0178
113,0,5438,1114.3443,16.9713,53.570344,2,0.0368,1,0.0184,99,1.8205,1,0.0184,4,0.0736,2,0.0368
318,734,5413,1109.2213,15.4792,50.101637,0,0.0000,2,0.0369,8,0.1478,1,0.0185,1,0.0185,0,0.0000
168,0,5364,1099.1803,19.5772,60.809219,1,0.0186,1,0.0186,0,0.0000,0,0.0000,0,0.0000,0,0.0000
281,295,5189,1063.3197,19.1010,59.526356,5,0.0964,0,0.0000,93,1.7923,1,0.0193,0,0.0000,0,0.0000
669,2614,5123,1049.7951,17.8450,56.233073,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.0390,1,0.0195
769,0,4747,972.7459,16.4466,52.553453,2,0.0421,1,0.0211,0,0.0000,0,0.0000,1,0.0211,1,0.0211
375,767,4403,902.2541,15.5501,49.724638,1,0.0227,1,0.0227,0,0.0000,1,0.0227,6,0.1363,1,0.0227
98,870,4390,899.5902,15.7228,50.371005,2,0.0456,2,0.0456,9,0.2050,0,0.0000,3,0.0683,2,0.0456
124,0,4378,897.1311,16.6788,53.287636,0,0.0000,0,0.0000,4,0.0914,0,0.0000,0,0.0000,1,0.0228
310,1487,4365,894.4672,15.6282,50.491077,2,0.0458,1,0.0229,35,0.8018,1,0.0229,2,0.0458,1,0.0229
690,0,4356,892.6230,19.2606,60.221844,0,0.0000,0,0.0000,13,0.2984,0,0.0000,1,0.0230,0,0.0000
288,0,4341,889.5492,16.7795,53.973184,1,0.0230,0,0.0000,0,0.0000,0,0.0000,5,0.1152,0,0.0000
688,0,4146,849.5902,16.7528,54.019877,1,0.0241,1,0.0241,8,0.1930,0,0.0000,1,0.0241,0,0.0000
82,658,3936,806.5574,16.2129,50.922477,1,0.0254,3,0.0762,0,0.0000,0,0.0000,0,0.0000,0,0.0000
18,0,3896,798.3607,17.0326,54.587613,1,0.0257,0,0.0000,29,0.7444,1,0.0257,0,0.0000,1,0.0257
971,0,3743,767.0082,15.2308,50.529327,2,0.0534,0,0.0000,0,0.0000,0,0.0000,1,0.0267,1,0.0267
242,0,3717,761.6803,16.5230,53.726131,2,0.0538,1,0.0269,0,0.0000,0,0.0000,1,0.0269,0,0.0000
550,137,3709,760.0410,15.6514,50.49577,2,0.0539,3,0.0809,0,0.0000,0,0.0000,0,0.0000,2,0.0539
200,719,3526,722.5410,15.7887,50.462666,2,0.0567,1,0.0284,9,0.2552,3,0.0851,0,0.0000,1,0.0284
49,262,3516,720.4918,19.8794,61.03781,1,0.0284,1,0.0284,0,0.0000,0,0.0000,0,0.0000,1,0.0284
132,59,3468,710.6557,14.2093,42.538158,0,0.0000,0,0.0000,0,0.0000,1,0.0288,0,0.0000,0,0.0000
306,1475,3399,696.5164,16.0327,52.442265,3,0.0883,0,0.0000,29,0.8532,0,0.0000,1,0.0294,2,0.0588
544,0,3241,664.1393,18.3999,57.33071,1,0.0309,0,0.0000,0,0.0000,1,0.0309,0,0.0000,0,0.0000
435,794,3188,653.2787,19.7867,60.850439,0,0.0000,0,0.0000,0,0.0000,1,0.0314,0,0.0000,0,0.0000
372,758,3164,648.3607,15.9150,51.022576,2,0.0632,0,0.0000,0,0.0000,2,0.0632,4,0.1264,3,0.0948
755,0,3101,635.4508,19.1519,60.357607,1,0.0322,1,0.0322,4,0.1290,0,0.0000,0,0.0000,0,0.0000
