pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
285,0,1709,619.2029,4.612574334867242,0.41106251359090534,3.0047,8.8128,8.9409,8.9549,19.1439,59.352458,37.09572263060438,-8.098448676819537,0,0.0000,0,0.0000,1,0.0585,0,0.0000,0,0.0000,0,0.0000
919,0,1705,617.7536,1.0229324241187916,0.20005143989653187,2.9977,7.5683,7.5296,7.4938,16.1026,50.203959,37.08768259589683,-8.10717440908353,0,0.0000,1,0.0587,0,0.0000,0,0.0000,0,0.0000,0,0.0000
13,616,1682,609.4203,3.2979099144018504,0.3004878916723408,3.0018,7.7782,7.7253,7.9055,16.3989,52.020077,37.099575583330946,-8.088554818261107,0,0.0000,0,0.0000,7,0.4162,1,0.0595,0,0.0000,1,0.0595
434,791,1669,604.7101,19.463240745043283,0.39670753345814164,2.9970,8.3385,8.0509,8.2834,17.1959,54.828532,37.09146889240635,-8.102805555258945,2,0.1198,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
167,0,1646,596.3768,8.56796311694438,0.5053231200548653,2.9854,7.9727,8.1154,7.9514,16.7910,53.421051,37.09627102532696,-8.124857998134578,0,0.0000,0,0.0000,6,0.3645,0,0.0000,0,0.0000,0,0.0000
333,0,1630,590.5797,1.2339628983494695,0.4114500485863422,3.0086,7.9528,8.2037,8.0804,16.8540,53.859601,37.10304898626533,-8.09701132617772,0,0.0000,1,0.0613,1,0.0613,1,0.0613,2,0.1227,1,0.0613
585,587,1607,582.2464,20.262922919845106,0.6062734479727183,3.0069,9.0809,9.0162,8.9421,19.5800,60.087156,37.09703252910208,-8.093611841199746,1,0.0622,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
921,0,1576,571.0145,2.5601943783121666,0.2998839176359213,2.9930,7.5495,7.3426,7.4410,15.4036,49.629106,37.09758771711158,-8.092588053831973,1,0.0635,1,0.0635,0,0.0000,0,0.0000,2,0.1269,0,0.0000
158,1136,1532,555.0725,9.790294567666022,0.6108685268490922,2.9895,7.5822,7.5705,7.6299,15.5007,50.627983,37.096366782077645,-8.094103198299257,0,0.0000,0,0.0000,2,0.1305,1,0.0653,0,0.0000,0,0.0000
661,0,1523,551.8116,1.742689526709636,0.3000266867617583,2.9980,7.8385,7.5430,7.9009,16.3848,51.738497,37.09761001539028,-8.099495771529467,2,0.1313,2,0.1313,1,0.0657,1,0.0657,1,0.0657,2,0.1313
263,946,1502,544.2029,18.008291849601125,0.4002180429951805,2.9967,7.7477,7.9381,7.5639,16.2690,51.665939,37.096699765642775,-8.093744721997325,0,0.0000,0,0.0000,19,1.2650,5,0.3329,2,0.1332,1,0.0666
155,1127,1462,529.7101,8.092654987200739,0.5103054258572084,3.0151,8.6867,8.8707,8.6122,18.5451,58.154699,37.09652969630829,-8.091682287328519,1,0.0684,0,0.0000,3,0.2052,0,0.0000,0,0.0000,0,0.0000
667,0,1410,510.8696,13.81829779217577,0.5991714692912207,3.0128,9.5404,9.3270,9.4128,19.9128,62.844716,37.09816512548052,-8.094622159335419,0,0.0000,0,0.0000,1,0.0709,0,0.0000,0,0.0000,0,0.0000
104,224,1358,492.0290,6.6399624823031616,0.39882868122369797,2.9993,8.8446,8.9411,8.8844,18.8689,59.266871,37.09217878521637,-8.087262056820462,0,0.0000,0,0.0000,3,0.2209,0,0.0000,0,0.0000,0,0.0000
152,1118,1353,490.2174,6.59587103220946,0.8921715079504564,3.0015,8.6984,8.5661,8.7162,17.9675,57.735056,37.098605805867315,-8.08923454558214,0,0.0000,0,0.0000,0,0.0000,1,0.0739,0,0.0000,0,0.0000
16,0,1336,484.0580,1.8595376026764345,0.2998583232418875,3.0030,8.0584,7.9618,7.9641,16.3787,53.298541,37.088944052297414,-8.103446676410039,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
274,628,1322,478.9855,28.40908880796873,0.9841737974827078,3.0053,9.1747,9.1793,9.0840,19.5719,60.973154,37.09653336800793,-8.092875392754554,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0756,0,0.0000
909,0,1276,462.3188,10.114856455393346,0.40119530751039995,3.0008,8.9099,9.0408,8.9561,19.1850,59.792837,37.097700771234145,-8.089551652532975,1,0.0784,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
906,0,1254,454.3478,4.201755146423215,0.4009338008444845,3.0064,9.2687,9.1946,9.2376,18.9841,61.557624,37.0963925932351,-8.092472233598448,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0797
736,0,1209,438.0435,4.547579140584004,0.4014212184179867,3.0017,7.4160,7.3830,7.4169,15.5178,49.368635,37.09775799441685,-8.095846753878424,0,0.0000,0,0.0000,3,0.2481,1,0.0827,1,0.0827,0,0.0000
234,941,1168,423.1884,72.63540244388744,1.3985239306710802,2.9940,8.0771,8.1832,8.2646,16.7200,54.499598,37.09403245940095,-8.105082482205702,1,0.0856,1,0.0856,3,0.2568,0,0.0000,0,0.0000,1,0.0856
41,157,1162,421.0145,7.682408742978527,0.7971395952001905,3.0112,8.4200,8.3055,8.2900,17.3924,55.590017,37.104486707444806,-8.07866789904111,0,0.0000,1,0.0861,5,0.4303,0,0.0000,0,0.0000,0,0.0000
519,0,1159,419.9275,2.1410660783604225,0.2980163387426647,2.9836,8.0276,7.9577,8.0863,16.5789,53.492614,37.09813551298357,-8.092589140934507,1,0.0863,0,0.0000,3,0.2588,0,0.0000,0,0.0000,0,0.0000
396,1658,1124,407.2464,2.0629734871967074,0.3010096166909856,3.0045,7.9324,7.7064,7.9190,16.0472,52.350658,37.09384854976338,-8.098448491199244,0,0.0000,0,0.0000,2,0.1779,1,0.0890,0,0.0000,0,0.0000
353,908,1039,376.4493,2.417116197344199,0.6168230347500271,3.0087,7.4196,7.5948,7.5438,15.6708,50.129394,37.08833832357387,-8.081577176428826,1,0.0962,0,0.0000,4,0.3850,0,0.0000,1,0.0962,0,0.0000
280,292,1006,364.4928,6.8287598170451265,0.4100590164240319,2.9940,8.0915,8.1302,8.2058,16.8598,54.283151,37.095022331606486,-8.10032566472874,2,0.1988,0,0.0000,2,0.1988,0,0.0000,1,0.0994,0,0.0000
427,0,979,354.7101,5.537810253828825,0.3972376565504171,3.0000,7.8999,8.1828,8.3636,16.7017,54.325332,37.0948022295288,-8.096945630870758,0,0.0000,0,0.0000,1,0.1021,0,0.0000,0,0.0000,0,0.0000
35,0,969,351.0870,7.777056706702131,0.6055551214360845,3.0031,8.0929,8.1455,8.2611,17.2951,54.443292,37.10488091373764,-8.079676877505106,1,0.1032,0,0.0000,1,0.1032,0,0.0000,0,0.0000,0,0.0000
554,2063,904,327.5362,38.816169326355556,0.6018929096023373,3.0066,8.7622,9.0509,8.7478,18.9558,59.02417,37.10450833721538,-8.092228484488498,1,0.1106,0,0.0000,1,0.1106,0,0.0000,1,0.1106,0,0.0000
265,0,846,306.5217,3.759582302309352,0.302884984034053,3.0142,7.8558,7.4362,7.5875,15.5331,50.842979,37.0953960042765,-8.097025517118631,0,0.0000,0,0.0000,1,0.1182,0,0.0000,0,0.0000,0,0.0000
702,0,822,297.8261,2.2619988295395976,0.1998963127146395,2.9951,7.8078,7.7372,7.8041,16.8990,51.887068,37.10019587651717,-8.090844320091932,0,0.0000,2,0.2433,3,0.3650,0,0.0000,0,0.0000,0,0.0000
751,0,797,288.7681,4.098723941112882,0.29979126979058723,3.0013,7.3739,7.5433,7.4178,15.7240,49.633476,37.082929083075605,-8.10613432192887,0,0.0000,0,0.0000,3,0.3764,0,0.0000,0,0.0000,0,0.0000
