pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
220,1277,788,285.5072,6.68683481489429,0.40973946012310103,2.9949,7.5977,7.8160,8.0673,16.7335,52.18014,41.29866179925291,-7.7364938970170805,0,0.0000,0,0.0000,4,0.5076,0,0.0000,0,0.0000,0,0.0000
261,1367,784,284.0580,14.018547180964022,0.5114243647121653,3.0038,7.4592,7.5880,7.6556,14.8253,50.450663,41.298898099580335,-7.736518137132604,0,0.0000,1,0.1276,3,0.3827,1,0.1276,1,0.1276,0,0.0000
203,0,779,282.2464,42.2745111603792,1.4949886655011746,2.9974,8.0205,8.1374,8.1926,16.7047,54.112067,41.29866908683447,-7.741221807263161,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
613,2231,777,281.5217,8.734728513997494,0.49932087037323986,3.0077,7.6564,7.5624,7.7748,15.2124,51.096834,41.29908177172458,-7.7363735459275516,0,0.0000,1,0.1287,1,0.1287,0,0.0000,0,0.0000,1,0.1287
74,67,758,274.6377,20.1261080555846,0.39709679226821337,2.9947,8.5620,8.8456,8.5092,18.4631,57.5931,41.29880092976089,-7.73711752187562,1,0.1319,0,0.0000,1,0.1319,0,0.0000,1,0.1319,0,0.0000
108,0,756,273.9130,67.01945450830839,1.1953057219874637,2.9894,7.9881,8.2222,7.9656,16.7897,53.724392,41.29765645692953,-7.7323023393282835,1,0.1323,0,0.0000,11,1.4550,0,0.0000,1,0.1323,1,0.1323
761,0,754,273.1884,3.2970832670873294,0.3011412922520221,3.0080,7.8488,7.8621,7.8541,16.8329,52.366711,41.299187057458404,-7.736424702551727,0,0.0000,0,0.0000,0,0.0000,1,0.1326,0,0.0000,0,0.0000
524,0,720,260.8696,18.38427376347547,0.3999313317530649,3.0014,8.1417,8.0722,7.9417,16.7542,53.679111,41.30034557553209,-7.737337897508407,0,0.0000,1,0.1389,2,0.2778,0,0.0000,0,0.0000,0,0.0000
559,0,717,259.7826,11.934899369543068,0.595443735811002,2.9805,8.3668,8.4686,8.3808,17.5384,56.036011,41.29878566065945,-7.7370157682109175,2,0.2789,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
29,776,708,256.5217,7.081854132609179,0.3953852225200269,3.0000,8.7472,8.7938,8.7090,18.5692,58.333376,41.3000089640913,-7.738467503201197,1,0.1412,0,0.0000,1,0.1412,0,0.0000,1,0.1412,0,0.0000
554,2063,697,252.5362,38.39954510844987,0.6009799214187026,3.0057,7.9900,8.2023,8.0387,16.6872,53.846715,41.299376298600656,-7.736850376198685,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
777,0,695,251.8116,3.406828775251512,0.2995699967411783,2.9971,7.7540,7.5108,7.8216,16.0532,51.302993,41.30000749778137,-7.737474281034854,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
133,0,691,250.3623,6.7531338378938,0.30168710090489537,3.0130,8.1085,7.8929,7.9465,17.0550,53.21754,41.29976555137937,-7.736975140248975,0,0.0000,0,0.0000,3,0.4342,0,0.0000,0,0.0000,0,0.0000
84,0,688,249.2754,40.09205031429663,1.3968510125401759,3.0058,8.4448,8.2137,8.0509,16.7689,54.909462,41.2992815374511,-7.738015892513034,1,0.1453,0,0.0000,3,0.4360,0,0.0000,0,0.0000,0,0.0000
618,2345,664,240.5797,21.03747708189721,0.7007859039090878,3.0000,7.8569,8.0964,7.8328,15.9142,52.858057,41.29886771560286,-7.737163465517655,0,0.0000,0,0.0000,10,1.5060,0,0.0000,0,0.0000,0,0.0000
396,1658,652,236.2319,2.1068783512313245,0.3036034587204183,3.0061,7.8788,7.4325,7.9264,17.1626,51.639479,41.296234099239854,-7.732054062997037,0,0.0000,0,0.0000,3,0.4601,1,0.1534,0,0.0000,1,0.1534
