pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
81,655,74310,13812.2677,15.7029,50.486344,15,0.0202,16,0.0215,128,0.1723,16,0.0215,36,0.0484,14,0.0188
171,0,72038,13389.9628,15.9397,50.945213,17,0.0236,15,0.0208,0,0.0000,4,0.0056,16,0.0222,17,0.0236
328,746,70982,13193.6803,18.7248,58.585716,29,0.0409,7,0.0099,115,0.1620,10,0.0141,33,0.0465,3,0.0042
48,259,70570,13117.1004,17.4197,55.17586,21,0.0298,11,0.0156,146,0.2069,11,0.0156,7,0.0099,21,0.0298
739,0,68216,12679.5539,16.8503,53.430697,18,0.0264,10,0.0147,0,0.0000,6,0.0088,32,0.0469,17,0.0249
603,0,66747,12406.5056,15.6755,50.336289,14,0.0210,18,0.0270,0,0.0000,8,0.0120,24,0.0360,15,0.0225
195,1229,66012,12269.8885,17.1983,54.632061,21,0.0318,17,0.0258,0,0.0000,3,0.0045,13,0.0197,0,0.0000
432,0,65934,12255.3903,16.3756,52.29196,21,0.0319,15,0.0228,0,0.0000,3,0.0046,15,0.0228,0,0.0000
42,160,65751,12221.3755,18.4329,57.690209,34,0.0517,10,0.0152,0,0.0000,6,0.0091,9,0.0137,5,0.0076
592,2168,65026,12086.6171,15.7055,50.364401,12,0.0185,19,0.0292,123,0.1892,14,0.0215,22,0.0338,16,0.0246
280,292,64920,12066.9145,18.4812,58.077459,32,0.0493,11,0.0169,117,0.1802,18,0.0277,6,0.0092,4,0.0062
159,1139,64394,11969.1450,15.6508,50.352503,20,0.0311,14,0.0217,0,0.0000,14,0.0217,25,0.0388,16,0.0248
28,53,64191,11931.4126,17.9892,56.547391,34,0.0530,4,0.0062,0,0.0000,4,0.0062,5,0.0078,6,0.0093
156,1130,63152,11738.2900,17.0835,54.212865,16,0.0253,13,0.0206,0,0.0000,11,0.0174,22,0.0348,11,0.0174
110,706,61573,11444.7955,18.3487,57.576267,33,0.0536,4,0.0065,0,0.0000,3,0.0049,3,0.0049,21,0.0341
153,1121,61520,11434.9442,17.0397,54.160847,23,0.0374,17,0.0276,0,0.0000,8,0.0130,32,0.0520,17,0.0276
218,0,59477,11055.2045,18.1343,56.891419,16,0.0269,8,0.0135,143,0.2404,2,0.0034,10,0.0168,0,0.0000
667,0,59476,11055.0186,18.1774,57.185646,24,0.0404,2,0.0034,122,0.2051,3,0.0050,45,0.0757,5,0.0084
454,0,58946,10956.5056,18.2899,57.461865,27,0.0458,8,0.0136,0,0.0000,1,0.0017,7,0.0119,3,0.0051
262,1370,58456,10865.4275,15.4712,50.088276,9,0.0154,11,0.0188,0,0.0000,5,0.0086,18,0.0308,0,0.0000
602,0,58321,10840.3346,17.7546,56.047822,17,0.0291,3,0.0051,0,0.0000,8,0.0137,16,0.0274,8,0.0137
309,1484,56301,10464.8699,15.7247,50.551084,12,0.0213,12,0.0213,90,0.1599,13,0.0231,17,0.0302,17,0.0302
190,1214,54593,10147.3978,16.6603,53.120261,15,0.0275,9,0.0165,116,0.2125,7,0.0128,34,0.0623,15,0.0275
278,0,53936,10025.2788,17.2235,54.682433,21,0.0389,11,0.0204,94,0.1743,9,0.0167,10,0.0185,44,0.0816
421,94,53010,9853.1599,15.6578,50.424202,14,0.0264,13,0.0245,0,0.0000,6,0.0113,15,0.0283,0,0.0000
755,0,52644,9785.1301,18.3241,57.573045,28,0.0532,4,0.0076,77,0.1463,7,0.0133,13,0.0247,0,0.0000
616,0,50212,9333.0855,15.6755,50.568932,7,0.0139,11,0.0219,84,0.1673,14,0.0279,10,0.0199,15,0.0299
520,0,49823,9260.7807,18.4992,57.840775,21,0.0421,3,0.0060,0,0.0000,8,0.0161,6,0.0120,3,0.0060
374,764,48475,9010.2230,16.4168,52.831508,22,0.0454,14,0.0289,86,0.1774,11,0.0227,14,0.0289,8,0.0165
296,1451,47883,8900.1859,17.4714,55.252424,12,0.0251,5,0.0104,94,0.1963,8,0.0167,10,0.0209,9,0.0188
588,0,46395,8623.6059,15.6947,50.683752,14,0.0302,2,0.0043,87,0.1875,9,0.0194,6,0.0129,10,0.0216
19,45,45831,8518.7732,16.6836,53.157753,14,0.0305,15,0.0327,86,0.1876,15,0.0327,11,0.0240,0,0.0000
33,785,45557,8467.8439,17.4904,55.300818,14,0.0307,10,0.0220,0,0.0000,1,0.0022,20,0.0439,8,0.0176
